scene,freq,trial_idx,y_off_mm,fail,vel_mm_s,lat_cm,yaw_deg,yaw_pen,tumble,rank_cost
scene4,30.0,0,-8.42,FALSE,211.17,3.868,3.0,0.0000,0.0000,-1.0559
scene4,30.0,1,-1.39,FALSE,210.39,1.749,161.3,1.2667,0.1420,0.3567
scene4,30.0,2,3.37,FALSE,176.82,0.612,13.9,0.0000,0.0000,-0.8841
scene4,30.0,3,1.15,FALSE,26.55,0.808,139.3,0.7772,0.1199,0.7643
scene4,30.0,4,-6.71,FALSE,191.22,0.015,2.4,0.0000,0.0000,-0.9561
scene4,30.0,5,-1.70,FALSE,136.64,1.958,32.4,0.0000,0.0356,-0.6477
scene4,30.0,6,-5.82,FALSE,194.51,0.798,175.5,1.6469,0.1607,0.8351
scene4,30.0,7,8.63,FALSE,133.17,2.229,10.3,0.0000,0.0727,-0.5932
scene4,30.0,8,6.17,FALSE,-1.00,1.104,44.9,0.0000,0.1567,0.1617
scene4,30.0,9,-7.90,FALSE,180.64,0.275,3.7,0.0000,0.0000,-0.9032
scene4,30.0,10,-7.91,FALSE,184.39,0.587,176.7,1.6817,0.1197,0.8795
scene4,30.0,11,-9.63,FALSE,16.48,1.427,18.1,0.0000,0.0784,-0.0040
scene4,30.0,12,2.66,FALSE,27.01,0.920,159.6,1.2257,0.0692,1.1599
scene4,30.0,13,11.19,FALSE,52.40,0.250,2.3,0.0000,0.1718,-0.0901
scene4,30.0,14,-4.73,FALSE,196.56,1.683,11.4,0.0000,0.0000,-0.9828
scene4,30.0,15,-3.00,FALSE,-0.90,0.265,6.9,0.0000,0.1314,0.1359
scene4,30.0,16,-4.27,FALSE,98.28,1.215,80.5,0.0520,0.1605,-0.2788
scene4,30.0,17,5.32,FALSE,236.95,1.176,8.9,0.0000,0.0000,-1.1847
scene4,30.0,18,-0.41,FALSE,33.91,0.138,29.0,0.0000,0.0000,-0.1695
scene4,30.0,19,1.43,FALSE,189.82,1.594,6.3,0.0000,0.0000,-0.9491
scene4,50.0,0,8.51,FALSE,306.21,0.696,12.1,0.0000,0.0000,-1.5311
scene4,50.0,1,-6.12,FALSE,280.92,2.179,15.2,0.0000,0.0000,-1.4046
scene4,50.0,2,-5.66,FALSE,19.50,0.131,21.1,0.0000,0.1361,0.0385
scene4,50.0,3,-2.62,FALSE,38.02,0.751,133.5,0.6662,0.0917,0.5677
scene4,50.0,4,-9.94,FALSE,111.52,0.021,31.6,0.0000,0.0318,-0.5258
scene4,50.0,5,8.60,FALSE,36.89,0.382,49.6,0.0000,0.1189,-0.0655
scene4,50.0,6,10.20,FALSE,269.01,4.560,31.9,0.0000,0.0000,-1.3450
scene4,50.0,7,-4.52,FALSE,50.39,0.313,145.6,0.9054,0.0882,0.7416
scene4,50.0,8,5.58,FALSE,322.34,1.217,176.3,1.6712,0.1607,0.2202
scene4,50.0,9,-1.89,FALSE,2.27,0.414,45.2,0.0000,0.1627,0.1514
scene4,50.0,10,-1.60,FALSE,6.25,0.231,125.5,0.5292,0.1152,0.6131
