scene,freq,trial,seed,velocity_mps,target_mps,cot_signed,cot_abs,energy_ext_signed_J,energy_ext_abs_J,distance_m,robot_mass_kg,total_time_s,avg_power_ext_W
scene4,20.0,6,78683,0.18792101356921628,0.1841,1.165941395365096,1.81949645672224,0.0006828107491601925,0.0010655524742903563,0.5476815644804676,0.000109,2.900000000000169,0.00023545198246901816
scene4,20.0,1,78678,0.19241860638612795,0.1841,1.1254904115327078,1.7513834726609614,0.0006729244310207279,0.0010471423965616204,0.5591508522929293,0.000109,2.900000000000169,0.00023204290724851333
scene4,20.0,5,78682,0.19404447923330095,0.1841,1.1394512586661445,1.7902305116585633,0.0006872887095689902,0.0010798225977907772,0.5640894168648461,0.000109,2.900000000000169,0.00023699610674791385
scene4,30.0,3,78780,0.2906588426236435,0.2747,1.1793524260777442,1.7301069693021116,0.0010744056205378668,0.0015761502760731055,0.8519795322170334,0.000109,2.900000000000169,0.00037048469673717384
scene4,30.0,1,78778,0.29347037304071605,0.2747,1.184781593775985,1.7323295813545503,0.0010865012209583576,0.001588628836851998,0.8576229906417747,0.000109,2.900000000000169,0.0003746555934338946
scene4,30.0,8,78785,0.29544390967461626,0.2747,1.1553043540840366,1.7032555612871911,0.0010681451547689756,0.001574757481602885,0.8646460451891012,0.000109,2.900000000000169,0.0003683259154375563
scene4,50.0,7,78884,0.3341426258859144,0.3274,1.7324114035232214,2.2928726861093445,0.0018719241868261744,0.0024775199642026883,1.0105125618283224,0.000109,2.900000000000169,0.0006454910989055398
scene4,50.0,3,78880,0.33564384693399557,0.3274,1.7548663991155418,2.304543921320911,0.0018607787741277383,0.0024436312730133445,0.9916426096708699,0.000109,2.900000000000169,0.0006416478531474586
scene4,50.0,8,78885,0.3170742532079489,0.3274,1.8708867484534866,2.535952407170376,0.0019020477093033721,0.002578190513641722,0.9507764192464039,0.000109,2.900000000000169,0.0006558785204494004
scene_wheel,10.0,2,78979,0.16343717799570526,0.1432,0.5436561855254055,0.887343308377251,0.00023241092308924128,0.00037933584292380125,0.4788746000517895,9.1e-05,2.900000000000169,8.014169761697508e-05
scene_wheel,10.0,1,78978,0.1637413782721571,0.1432,0.4392158596063789,0.770471373519591,0.00019219835254067634,0.0003371538741859831,0.4901863882804707,9.1e-05,2.900000000000169,6.62752939795397e-05
scene_wheel,10.0,7,78984,0.1638664924184783,0.1432,0.6275582830367986,0.9741235743009182,0.00026744075132081787,0.0004151332993800702,0.47737878832562863,9.1e-05,2.900000000000169,9.222094873131113e-05
scene_wheel,20.0,4,79081,0.2936866387584858,0.3058,0.8012743078082213,1.1062281448731577,0.0006415755300190249,0.0008857502374066222,0.896925092420521,9.1e-05,2.900000000000169,0.00022123294138585775
scene_wheel,20.0,5,79082,0.32754778005706586,0.3058,0.6612109445100561,0.9369101343195745,0.0005635785596434008,0.0007985688506810558,0.954781575024369,9.1e-05,2.900000000000169,0.00019433743435978202
scene_wheel,20.0,7,79084,0.3289369161368239,0.3058,0.7109237681615858,1.0035832701113068,0.0006063215524107179,0.0008559204144782621,0.9553655398375891,9.1e-05,2.900000000000169,0.00020907639738299399
scene_wheel,30.0,2,79179,0.4485699289264098,0.4493,1.0402796910842658,1.3749385996749193,0.001216685629374936,0.0016080944863527717,1.3101404598810449,9.1e-05,2.900000000000169,0.0004195467687499535
scene_wheel,30.0,7,79184,0.46055297650423044,0.4493,0.9258539604576695,1.2162759527806937,0.0011143028517794915,0.0014638375171656568,1.3481876783675104,9.1e-05,2.900000000000169,0.0003842423626825609
scene_wheel,30.0,1,79178,0.435749538713402,0.4493,1.4037064857552015,1.7818605259636093,0.0016169852605192928,0.002052595920887398,1.2903851453477606,9.1e-05,2.900000000000169,0.000557581124316965
