id,cost,velocity_scene4,velocity_scene2,cost_scene4,cost_scene2,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,kp_mag
28059e69,0.05563863263863246,0.004441366593185984,0.024309547193575677,0.04225435176807696,0.013384280870555498,0.0005397886427205506,0.007134176020102343,0.00016496334031863307,0.04414388641022216,0.5538027654239475,0.9728296125793773,0.9669034462252754,0.0052523998285138205,3.294911043473105e-07
cb791087,0.058369216240078986,0.0005330469912561261,0.019613905133060865,0.04387640440276731,0.014492811837311671,0.0001222145404794013,0.006955537177613162,0.00020846862608815158,0.0367065218351099,0.7904749535380337,0.8342156076621083,0.9625284258664377,0.003120847067737359,3.347436432011101e-07
402711ef,0.060844752555009436,0.00013575640537058232,0.010378428433136643,0.04404300073954595,0.016801751815463485,3.829733618105182e-05,0.005182618375555384,0.00011442971396444282,0.09890443530116269,1.8403548347927834,0.9682511917537506,0.9742910492086225,0.004530010359167703,3.7166283119776836e-07
1dc76471,0.06302597065649632,2.5955886976450805e-05,0.002388694304143887,0.044089099201177956,0.018936871455318367,0.0009025517867746225,0.018438580889418868,0.015609194777360308,0.015921036852577522,1.0655776758073656,0.9322044332902676,0.9920595814358723,0.0004486604735590719,2.757287773964827e-07
eb500b3e,0.06308538528646958,-7.153945583532118e-05,0.0023216298864451334,0.04413005168934457,0.018955333597125004,0.4196583811633532,0.002485775286459208,0.0060136719335928705,0.08816631606251055,1.2862726914542075,0.8561704003091657,0.9551692187316833,0.0008185951005222194,2.7345185538655043e-07
bf1eb1aa,0.0631902510676789,-0.00017529695223503634,0.0020993269823576266,0.044173655448960174,0.019016595618718723,9.750960589563311e-05,0.03828726839315707,0.0007970414230898706,0.056764281625662,1.4214805642096424,0.8264729763371165,0.9796164515846131,0.0012013849374287184,2.54754843343881e-07
ee9013ba,0.06324791536404312,-3.614983240584579e-05,0.0016788840139645206,0.044115184236420836,0.019132731127622284,0.014593610221951136,0.00046195427600398024,0.060014927532569456,0.05526232015356831,0.6303969978132724,0.9735949212421553,0.9693180059327174,0.000731730291641992,2.447818189473637e-07
997717b7,0.06349864579315807,0.00026997924585557033,0.0003147674676230769,0.04398668160553385,0.019511964187624218,0.0001834443903697896,0.003303696051104315,0.0009032713904004079,0.04684556576915522,1.725953692689819,0.8731676160320666,0.9972699024790023,0.0011677249304002087,2.3039580961514104e-07
575d9ace,0.0637304825294101,-9.49283323636019e-05,3.3562528622187326e-05,0.04413987891098099,0.01959060361842912,0.18804710791988968,0.02659054333394923,0.0014056865657695427,0.09526255749366382,1.2988494832638857,0.8961383566294163,0.95,0.0028979272621731094,1e-07
5536fbff,0.06375391730560054,0.00013894098960419855,-0.00040033196768343,0.04404166408896482,0.019712253216635715,0.08044923951599699,5.416754583247461e-05,0.013145103232150136,0.060088165636702225,0.9470822304218233,0.8189952340054206,0.9725031957063275,0.0004649617447336334,1.9307837536547152e-07
0236002c,0.06378258074423604,9.418550996846346e-05,-0.00043550045309945115,0.044060450956723535,0.0197221297875125,0.5867620082691679,0.001763961913369122,0.0002971872787479382,0.023001484790482883,1.1299543120810918,0.848321572270616,0.9739389497270549,0.004476064828423572,3.11626638532358e-07
e603841f,0.06378813799118599,-0.00028355517562850784,0.00011088529165542458,0.044219173577301596,0.01956896441388439,0.05063702241747258,0.0016416541654793277,0.00048301624763785755,0.05584512364658986,1.796091741937178,0.9378582700260646,0.999,0.0050995553883406,1.7707325791223208e-07
4df9049d,0.06389041601797578,0.00018248142071840894,-0.0009504342498050025,0.04402339110276717,0.019867024915208607,0.8,0.1,1e-05,0.1,2.0,0.8,0.999,0.0001,1.3285911945427332e-07
555d1446,0.06396789093209361,-0.00022518761767915463,-0.0006174293009412597,0.044194629508888396,0.019773261423205214,1.1975232978785804e-05,8.386394780402563e-05,9.20665489227477e-05,0.06864308836372038,1.25899364978698,0.9583070332298713,0.9584948680218808,0.0006055098539300354,2.3145798905204858e-07
ccfe5275,0.06399853865143473,-0.0010523568429808253,0.0005172364682366491,0.04454309732897691,0.019455441322457818,0.7950681256425949,1e-05,0.09484027942525515,0.1,2.0,0.8002538068271519,0.999,0.0001,1.9025097847396075e-07
bfdf2a87,0.06430130377225905,-8.257155079104811e-05,-0.0020092141477651136,0.04413468686939324,0.020166616902865815,8.420411496371844e-05,0.07106541996023141,0.00017943283228614534,0.00462953742076125,1.607620401632439,0.8521573079797562,0.9623080897349172,0.0005949435519202016,1e-07
e7e69312,0.06433659430919689,-0.00047116234608918017,-0.0015573527934280476,0.04429811017931382,0.020038484129883058,0.8,0.1,1e-05,0.001,2.0,0.99,0.999,0.0001,1e-07
08b6f012,0.06453387263528201,-6.162339268650346e-05,-0.0028565259724285586,0.04412588562237085,0.020407987012911157,1.3256735489776074e-05,3.673994336645322e-05,6.824879452251977e-05,0.06993517157022934,1.3638912566438721,0.9861057159379517,0.9588647560499856,0.00046347732465986145,2.363844288391608e-07
